"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"in-57feff842e9c436e","indeed","https://it.indeed.com/viewjob?jk=57feff842e9c436e","http://it.indeed.com/job/regulatory-affairs-quality-assurance-specialist-57feff842e9c436e","Regulatory Affairs & Quality Assurance Specialist","MEDAX SRL UNIPERSONALE","San Possidonio, EMI, IT","2026-03-10","fulltime","","","","","",False,"","","","","Per ampliamento del nostro team, ricerchiamo un/una **Regulatory Affairs \& Quality Assurance Specialist** che avrà la responsabilità di garantire la conformità normativa dei nostri dispositivi medici e il mantenimento del Sistema di Gestione Qualità in accordo alla ISO 13485, alla Direttiva 93/42/CEE e al Regolamento MDR 2017/745\.

**La figura selezionata si occuperà delle seguenti attività:**

**Regulatory Affairs**

* Gestione diretta delle attività di registrazione, inclusi aggiornamenti, rinnovi e variazioni, dei prodotti Medax presso le Autorità Competenti e delle relative banche dati (EUDAMED, Ministero della Salute, Food and Drug Administration);
* Predisposizione, redazione, aggiornamento e archiviazione della documentazione regolatoria (510(k), Medical Device File), in collaborazione con R\&D, QE, QC e MTO;
* Ricerca proattiva e monitoraggio delle novità regolatorie, con reporting periodico;
* Supporto regolatorio allo sviluppo nuovi prodotti e valutazione della compliance di prodotto e materiali;
* Gestione del Change Control con valutazione dell’impatto regolatorio e attivazione delle azioni necessarie (substantial changes, letter\-to\-file);
* Supporto alle attività di Vigilanza (UE), MedWatch (USA), Post\-Market Surveillance e reporting alle Autorità;
* Coordinamento di eventuali azioni di Recall (FSCA, Corrections \& Removals) con il Quality Manager;
* Supporto alla compliance aziendale su normative di settore e regolamentazione dei materiali; riesame specifiche materiali e qualifica nuovi raw materials;
* Conduzione di audit interni e audit fornitori come auditor qualificato;

**Quality Assurance**

* Gestione reclami cliente (apertura, analisi root cause, definizione e monitoraggio azioni correttive/preventive).
* Gestione CAPA e non conformità derivanti da audit interni, clienti e Organismo Notificato.
* Monitoraggio degli indicatori di processo e supporto al Riesame della Direzione.
* Gestione e aggiornamento della documentazione del Sistema di Gestione Qualità (procedure, istruzioni, manuale qualità, modulistica).
* Redazione protocolli e report di convalida di processi speciali (sterilizzazione, confezionamento, software, reprocessing).
* Qualifica e valutazione annuale dei fornitori (Supplier Quality, indice IAF).
* Gestione della formazione del personale (piani formativi, registri, verifica efficacia).

**Requisiti Tecnici:**

Il/La candidato/a ideale possiede:

* Laurea ad indirizzo tecnico/scientifico;
* Esperienza di **almeno 3 anni** in ambito Quality Assurance e Regulatory Affairs in aziende di produzione, preferibilmente nel settore dei dispositivi medici;
* Esperienza nella gestione di audit e nel confronto con Organismi Notificati;
* Conoscenza approfondita degli standard, delle norme e dei regolamenti di riferimento (ISO13485, MDD, MDR);
* Conoscenza dei processi di sterilizzazione;
* Conoscenza delle strategie di valutazione della biocompatibilità e performance clinica;
* Competenze di stesura e aggiornamento di Fascicoli Tecnici, 510(k);
* Buona conoscenza della lingua inglese;

**Altri requisiti:**

* Precisione, autonomia, capacità organizzativa e orientamento al miglioramento continuo;
* Capacità di lavorare in team e di interfacciarsi con diverse funzioni aziendali;
* Attitudine al problem solving, flessibilità e proattività.

**Cosa offriamo**

Offriamo l’inserimento in un’azienda in forte crescita, strutturata e orientata al miglioramento continuo. Garantiamo un ambiente organizzato e stimolante, con un percorso di sviluppo professionale volto a valorizzare competenze e responsabilità.

**Sede di lavoro:** San Possidonio (MO).

Contratto di lavoro: Tempo pieno, Tempo indeterminato

Sede di lavoro: Di persona","","https://it.indeed.com/cmp/Medax-Srl-Unipersonale","","","","","","","","","","","","","medical affairs"
"in-2c4381ca19ef0fd6","indeed","https://it.indeed.com/viewjob?jk=2c4381ca19ef0fd6","https://jobs.alfasigma.com/job/Bologna-Manager%2C-Customer-Engagement-and-Customer-Experience/1289278901/","Manager, Customer Engagement and Customer Experience","Alfasigma group","Bologna, EMI, IT","2026-03-04","","","","","","",False,"","","","","Publish Date: Mar 4, 2026
Bologna, IT
**Manager, Customer Engagement and Customer Experience**
========================================================

Alfasigma è un'azienda privata globale operante nel settore sanitario, fondata oltre 75 anni fa in Italia, dove ancora oggi ha sede a Bologna e Milano. Il Gruppo opera in oltre 100 mercati in Europa, Nord e Sud America, Asia e Africa.



Oltre tre anni fa, abbiamo intrapreso un percorso di trasformazione per diventare un'azienda farmaceutica innovativa e veramente globale, con un focus principale sulla salute gastrointestinale (GI). Abbiamo registrato una crescita notevole, quasi raddoppiando i nostri ricavi, espandendoci geograficamente e integrando diverse acquisizioni chiave. Abbiamo anche evoluto il nostro portafoglio, espandendoci in segmenti rari e specialistici e rafforzando la nostra pipeline e le capacità del nostro personale.



Ma il nostro percorso è lungi dall'essere completato! In realtà, questo è solo l'inizio di un nuovo audace capitolo nella storia di Alfasigma. Ci impegniamo a promuovere l'innovazione e a sfruttare la nostra profonda esperienza per offrire una salute e una qualità di vita migliori ai pazienti e ai consumatori di tutto il mondo e per espandere la nostra presenza in diversi mercati.

  

In ottica di implementare il team italiano siamo alla ricerca di un CX and Customer Engagement Manager.


**Scopo della posizione**



La posizione è responsabile di definire e implementare la strategia di Customer Experience \& Engagement, con l’obiettivo di migliorare la qualità dell’interazione tra ISF e HCP e massimizzare l’impatto delle attività sul campo. Il ruolo opera a cavallo tra strategia ed execution, guidando l’evoluzione dei modelli di ingaggio – face\-to\-face e digitali – e introducendo standard misurabili di Customer Experience. Contribuisce inoltre al miglioramento delle performance della Field Force, alla riduzione della variabilità dei risultati e allo sviluppo di strategie data\-driven.


**Principali responsabilità:**


* Customer Experience \& Engagement Strategy
* Disegnare e implementare una strategia di Customer Engagement orientata alla qualità dell’interazione ISF–HCP.
* Definire modelli di Customer Experience sul campo (contenuti, modalità, sequenza delle interazioni e follow\-up) con l’obiettivo di migliorare l’esperienza.
* Misurare e monitorare l’experience degli HCP derivante dalle interazioni con Alfasigma, attraverso KPI e insight strutturati.
* Identificare leve di miglioramento dell’impatto per visita della forza vendita.
* Collaborazione cross\-funzionale (Brand, Field, Medical Affairs, Commercial Excellence, IT) per integrare iniziative omnicanale nei piani di business
* Condurre Field Performance Review per generare insight a supporto delle decisioni della Business Unit.
* Partecipare alle Performance Review interne, rappresentando la prospettiva del field.

  


**Requisiti**


* Solida esperienza nell’interazione con i medici, maturata in contesti sales o field\-oriented.
* Buona confidenza con CRM e piattaforme digitali, a supporto della gestione delle interazioni e dell’analisi delle performance.
* Approccio quantitativo e data\-driven, con capacità di lettura e utilizzo di KPI.
* Forte orientamento alla Customer Experience e alla qualità dell’interazione con gli HCP.
* Competenze di project management e capacità di definire priorità strategiche.
* Esperienza comprovata in strategie di customer engagement, digital marketing o strategie omnicanale.
* Esperienza o esposizione in marketing di prodotti maturi considerata un plus.
* Background accademico in discipline scientifiche; una laurea in ingegneria è considerata equivalente.
* Competenze di project management e capacità di definire priorità strategiche.
* Esperienza comprovata in strategie di customer engagement, digital marketing o strategie omnicanale.
* La provenienza dal settore farmaceutico o healthcare sarà considerata un plus.
* Disponibilità a lavorare su Milano o Bologna.

 **Perché entrare a far parte di Alfasigma:**



In Alfasigma promuoviamo una cultura in cui il coraggio di innovare è fondamentale per il nostro successo.



Offriamo uno stipendio competitivo, benefit e ampie opportunità di crescita e sviluppo professionale.



Il nostro impegno nei confronti delle persone e dei pazienti è al centro di tutto ciò che facciamo. Apprezziamo la diversità e accogliamo con favore individui con prospettive ed esperienze uniche. Crediamo che l'apertura mentale, la collaborazione e la passione condivisa per l'innovazione siano essenziali per ottenere progressi significativi.



Entra a far parte di Alfasigma e diventa membro di un team lungimirante dedicato a plasmare il futuro dell'industria farmaceutica.","","https://it.indeed.com/cmp/Alfasigma-Group","","","","","","","","","","","","","medical affairs"
"in-185829baa748160c","indeed","https://it.indeed.com/viewjob?jk=185829baa748160c","https://jobs.alfasigma.com/job/Bologna-Marketing-CHC-Intern/1369968433/","Marketing CHC Intern","Alfasigma group","Bologna, EMI, IT","2026-03-04","internship","","","","","",False,"","","","","Publish Date: Mar 4, 2026
Bologna, IT
**Marketing CHC Intern**
========================

Alfasigma is a privately held global healthcare company founded over 75 years ago in Italy, where it remains headquartered today in Bologna and Milan. The Group operates in over 100 markets spanning Europe, North and South America, Asia, and Africa.



Over three years ago, we embarked on a transformative journey to become **a truly global innovative healthcare company with a leading focus on Gastrointestinal (GI) health**. We have experienced remarkable growth, nearly doubled our revenues, expanding geographically, and integrating several key acquisitions. We have also evolved our portfolio, expanded into rare and specialty segments, and strengthened our pipeline and people's capabilities.


**But our journey is far from complete!** In fact, this is just the beginning of a bold new chapter in Alfasigma's history. We are committed to advancing innovation and leveraging our deep expertise to provide better health and a better quality of life for patients and consumers worldwide and expand our reach across diverse markets.

 **Scope of the role:**



We are seeking a highly motivated and dynamic Marketing Intern to join our marketing team focused on the gastro segment. This internship offers a unique opportunity to work in a fast\-paced environment and gain hands\-on experience in marketing strategies for innovative products within the pharmaceutical industry.


**Your Role:**  

* Support the development and execution of marketing campaigns and promotional materials for gastro products.
* Assist in conducting market research to understand trends, consumer needs, and competitive landscapes in the gastroenterology sector.
* Collaborate with regional teams to adapt marketing materials to local markets and cultures, ensuring consistency and relevance.
* Assist in tracking campaign performance, generating reports, and providing recommendations for optimization.
* Help in the creation of content for various marketing channels, including digital, print, and social media, to engage healthcare professionals and patients.
* Work closely with the Product Management, Sales, Regulatory, and Medical Affairs teams to ensure alignment on product messaging, regulatory requirements, and go\-to\-market strategies.
* Participate in meetings and contribute to brainstorming sessions for new product launches and promotions.
* Assist in planning and organizing webinars, industry conferences, and events related to gastroenterology.
* Support in managing logistics, materials, and follow\-up communications.

**Who are you:**  

* Currently enrolled in a Bachelor’s or Master’s degree program in Marketing, Business Administration, Life Sciences, or a related field.
* Strong interest in pharmaceuticals, healthcare marketing, and the gastroenterology sector.
* Excellent written and verbal communication skills.
* Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint) and familiarity with digital marketing tools (social media platforms, email marketing, etc.) is a plus.
* Strong analytical skills and attention to detail.
* Ability to work independently and as part of a team in a fast\-paced, international environment.
* Previous internship or experience in a marketing or pharmaceutical environment is a plus.


Location: **Bologna**

**Why Join Alfasigma:**


**At Alfasigma, we foster a culture where the courage to innovate is key to our success.**  

 We offer a competitive salary, comprehensive benefits, and extensive opportunities for professional growth and development.



Our commitment to people and patients is at the heart of everything we do. We value diversity and welcome individuals with unique perspectives and experiences. We believe that open\-mindedness, collaboration, and a shared passion for innovation are essential to achieving meaningful progress.


**Join Alfasigma and become part of a forward\-thinking team dedicated to shaping the future of the pharmaceutical industry.**","","https://it.indeed.com/cmp/Alfasigma-Group","","","","","","","","","","","","","medical affairs"
"in-9afdaa04d6b4c602","indeed","https://it.indeed.com/viewjob?jk=9afdaa04d6b4c602","https://jobs.alfasigma.com/job/Bologna-Non-Pharma-Global-Regulatory-Affairs-Manager/1273656101/","Non-Pharma Global Regulatory Affairs Manager","Alfasigma group","Bologna, EMI, IT","2026-03-03","","","","","","",False,"","","","","Publish Date: Mar 3, 2026
Bologna, IT Pomezia, IT Milano, IT
**Non\-Pharma Global Regulatory Affairs Manager**
=================================================

Alfasigma is a privately held global healthcare company founded over 75 years ago in Italy, where it remains headquartered today in Bologna and Milan. The Group operates in over 100 markets spanning Europe, North and South America, Asia, and Africa.



Over three years ago, we embarked on a transformative journey to become a truly global innovative healthcare company with a leading focus on Gastrointestinal (GI) health. We have experienced remarkable growth, nearly doubling our revenues, expanding geographically, and integrating several key acquisitions. We have also evolved our portfolio, entered rare and specialty segments, and strengthened both our pipeline and our people’s capabilities.



But our journey is far from complete! In fact, this is just the beginning of a bold new chapter in Alfasigma's history. We are committed to advancing innovation and leveraging our deep expertise to provide better health and a better quality of life for patients and consumers worldwide while expanding our reach across diverse markets.



As we continue to grow, we are seeking a RA Non\-Pharma Manager to join our team!

  


**Scope of the role**



The Global Regulatory Sciences\-Legacy Products\-Non\-Pharma Manager manages regulatory documentation and operational activities primarily for moderately to complex projects for non\-pharma products assigned, across EU and Rest of World markets. The Global Regulatory Sciences\-Legacy Products\-Non\-Pharma Manager works independently within clearly defined areas and applies regulatory knowledge and organizational skills to support operational excellence.



The role is directly responsible for project success and global compliance by ensuring that regulatory documentation, timelines, and communications are effectively managed within a cross\-regional, matrixed environment.



This role operates to ensure timely and high\-quality delivery of regulatory submissions and lifecycle management activities.

  


**Key Accountabilities**

  

Project Leadership:


* Accountable for providing the necessary regulatory inputs in a cross\-functional team for the development of new projects (new internal processes, products etc.).
* Accountable for the execution and implementation of global regulatory strategies by managing day\-to\-day activities for assigned products.
* Manage multiple regulatory workstreams independently, including authoring, reviewing and coordinating documentation for regulatory submissions such as variations, renewals and geo\-expansions.

Regulatory Submissions and Delivery:


* Provide and review regulatory assessments for change controls and product updates.
* Responsible for the preparation, review and collection of documentation for submission and maintenance of Technical File and PTD for the project assigned.
* Provide critical review of documentation supporting regulatory applications.
* Coordinate with local affiliates and global stakeholders to ensure submissions are aligned with timelines and business priorities.
* Contribute to the preparation and presentation of regulatory project updates in internal meetings and governance committees, providing project timelines, milestones and submission plans in coordination with cross\-functional stakeholders for assigned products.
* Execute defined regulatory tasks within scope and deadlines under the guidance of the Head.
* Support other relevant assignments as directed by supervisor.

Compliance and Documentation Management:


* Person Responsible for Regulatory Compliance MDR, Art. 15 (b), (c), (d), (e) if applicable.
* Manages content and data in Company system.
* Ensure that all regulatory submissions are developed and maintained according to current SOPs, quality standards and applicable regulatory requirements.
* Maintain accuracy of records in regulatory systems and document management platforms.

Stakeholder Collaboration:


* Liaise with Global Pharmacovigilance for safety issues.
* Liaise with Global QA/Supply Chain/Global R\&D for regulatory issues related to finished products/raw materials/supplier assessment.
* Engage with external vendors and consultants to support submission preparation and ensure delivery of expected outcomes.
* Provide regulatory and strategic input during due diligence processes, assessments, and business development, licensing and partnership opportunities related to legacy assets.
* Contribute to audits, inspections and regulatory authority communications for assigned products.

Leadership and Learning Development:


* Act as a tutor for junior team members, providing guidance, feedback and support to facilitate their development and integration into regulatory activities.
* Take ownership of self\-development activities and integrate learnings into daily practice.

Process Improvement and Team Contribution:


* Take part in continuous improvement initiatives and cross\-functional projects.
* Participate in training activities to build regulatory and project management capabilities.
* Work with the team to improve processes, templates and tools used in regulatory project execution, promoting standardization of the technical way of working.
* Champion understanding of the evolving regulatory and compliance landscape and collaborate with internal teams to ensure adherence across all regulatory initiatives for assigned topics.

  




**Qualifications**


* Proven experience in Regulatory Affairs within the pharmaceutical or life sciences industry, preferably within the food supplements, medical devices, and cosmetics sectors.
* Hands\-on experience with regulatory submission processes, especially within EU and/or RoW markets or similar relevant experiences.
* Demonstrated ability to coordinate projects or deliverables with complexity and limited supervision.
* Advanced degree in Life Sciences, Pharmacy, Chemistry, or a related field.
* Relevant certifications in Regulatory Affairs are considered a plus.
* Good knowledge of global regulatory frameworks including EU regulations for medical devices (MDR, MDD) and relevant legislation for food supplements and cosmetics.
* Strong organizational skills, attention to detail, and ability to manage priorities.
* Collaborative mindset and effective communication with team members and stakeholders.
* Ability to operate independently on clearly defined assignments.
* Proficiency in Microsoft Office Suite and regulatory submission/document management tools.
* Fluent in English, both written and spoken.

  




**Why Join Alfasigma**



At Alfasigma, we foster a culture where the courage to innovate is key to our success.  

We offer a competitive salary, comprehensive benefits, and extensive opportunities for professional growth and development.

Our commitment to people and patients is at the heart of everything we do. We value diversity and welcome individuals with unique perspectives and experiences. We believe that open\-mindedness, collaboration, and a shared passion for innovation are essential to achieving meaningful progress.

Join Alfasigma and become part of a forward\-thinking team dedicated to shaping the future of the pharmaceutical industry.","","https://it.indeed.com/cmp/Alfasigma-Group","","","","","","","","","","","","","medical affairs"
"li-4383316808","linkedin","https://www.linkedin.com/jobs/view/4383316808","","EDUCATORE /EDUCATRICE | CRA VILLA MINOZZO","COOPSELIOS","Reggio nell'Emilia, Emilia-Romagna, Italy","2026-03-09","","","","","","",False,"","","","","","","https://it.linkedin.com/company/coopselios","","","","","","","","","","","","","medical affairs"
"li-4383334187","linkedin","https://www.linkedin.com/jobs/view/4383334187","","Regulatory Affair Coordinator","Cefla","Imola, Emilia-Romagna, Italy","2026-03-09","","","","","","",False,"","","","","","","https://it.linkedin.com/company/cefla","","","","","","","","","","","","","medical affairs"
"li-4381888577","linkedin","https://www.linkedin.com/jobs/view/4381888577","","Medical Director, Global Evidence Generation Lead","Alfasigma","","2026-03-09","","","","","","",False,"","","","","","","https://it.linkedin.com/company/alfasigma","","","","","","","","","","","","","medical affairs"
"in-ed7d8548930c664a","indeed","https://it.indeed.com/viewjob?jk=ed7d8548930c664a","https://medtronic.wd1.myworkdayjobs.com/en-US/MedtronicCareers/job/Bologna-Emilia-Romagna-Italy/Associate-Technical-Consultant_R61028-1","Associate Technical Consultant","Medtronic","Bologna, EMI, IT","2026-03-10","fulltime","","","","","",False,"","","","","At Medtronic you can begin a life\-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world.


**A Day in the Life**
=====================

We are looking for an enthusiastic Associate Technical Consultant to support TAVI therapy (Transcatheter Aortic Valve) by providing OR assistance, facilitating the adoption of innovative technologies, and helping clinicians maximize the full potential of Medtronic products during procedures. In this role, you will collaborate closely with clinical stakeholders, offering expert guidance and fostering strong partnerships.
  

  

The Structural Heart (SH) Operating Unit develops life\-saving technologies to treat heart valve diseases through a transcatheter approach. We provide minimally invasive therapies for patients with severe aortic stenosis and those with pulmonary valve stenosis or regurgitation. Our vision is to improve patient outcomes globally by advancing transcatheter valve technology, enabling clinicians to deliver superior care. The ideal candidate is based in Bologna and will cover the Emilia Romagna and Triveneto area.
**Responsibilities may include the following and other duties may be assigned:**
--------------------------------------------------------------------------------

* Provide technical and specialist support in the operating room, ensuring the correct use of Medtronic products.
* Assist in training and technical updates for physicians, hospital staff, and all healthcare professionals involved in using Medtronic products.
* Support sales colleagues by participating in presentations, conferences, and meetings, offering physicians the necessary product information while fostering strong professional relationships.
* Provide on\-demand technical and specialist support to physicians, sharing relevant clinical data to demonstrate product effectiveness.
* Assist in post\-marketing activities, ensuring ongoing product support and engagement.
* Collaborate closely with the sales team, delivering a unified and clear message to physicians about products and therapies.
* Address product\-related issues, coordinating with headquarters as needed.
* Leverage commercial insights to share comprehensive information on products, therapies, and services, supporting therapy development strategies in coordination with the manager.

**Required Knowledge and Experience:**

* Advanced degree in Biomedical Engineering or other scientific disciplines.
* Knowledge of medical devices.
* Based in Bologna, with full availability to travel across the district (Emilia Romagna and Triveneto area and nationwide) according to business needs.
* Fully autonomous in supporting aortic valve replacement procedures, including independent CT scan review for implant pre\-evaluation.
* Strong knowledge of relevant clinical studies within the field.
* Demonstrates a strong team spirit and high motivation toward achieving results.
* Strong problem\-solving skills and excellent communication skills.
* Ability to work effectively in a team environment.
**Physical Job Requirements**  

  

The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.  



**Benefits \& Compensation**
============================

**Medtronic offers a competitive Salary and flexible Benefits Package**  

A commitment to our employees lives at the core of our values. We recognize their contributions. They share in the success they help to create. We offer a wide range of benefits, resources, and competitive compensation plans designed to support you at every career and life stage.  

  



Pay range / Rango salarial / Intervalo salarial /Fascia retributiva / Tranche de salaire / Gehaltsband / Salaribereik: Italy: 31,600\.00 EUR \- 47,400\.00 EUR \|  

**About Medtronic**
===================

We lead global healthcare technology and boldly attack the most challenging health problems facing humanity by searching out and finding solutions.
  

Our Mission — to alleviate pain, restore health, and extend life — unites a global team of 95,000\+ passionate people.
  

We are engineers at heart— putting ambitious ideas to work to generate real solutions for real people. From the R\&D lab, to the factory floor, to the conference room, every one of us experiments, creates, builds, improves and solves. We have the talent, diverse perspectives, and guts to engineer the extraordinary.","","https://it.indeed.com/cmp/Medtronic","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78828b704431b1c10caa524c081f9932","http://www.medtronic.com/","","10,000+","more than $10B (USD)","CAREERS THAT CHANGE LIVES Do meaningful work, make a difference, and improve lives.","","","","","","","medical manager"
"li-4376672103","linkedin","https://www.linkedin.com/jobs/view/4376672103","","Electrophysiology Field Clinical Specialist Graduate- Bologna (Italy).","myGwork - LGBTQ+ Business Community","Bologna, Emilia-Romagna, Italy","2026-03-11","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/mygwork","","","","","","","","","","","","","clinical liaison"
"li-4382092606","linkedin","https://www.linkedin.com/jobs/view/4382092606","","Field Clinical Specialist - Electrophysiology (m/f/d)","myGwork - LGBTQ+ Business Community","Bologna, Emilia-Romagna, Italy","2026-03-10","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/mygwork","","","","","","","","","","","","","clinical liaison"
