"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"li-4325641379","linkedin","https://www.linkedin.com/jobs/view/4325641379","","Experienced CRA, Sponsor Dedicated - Italy","IQVIA","Rome, Latium, Italy","2026-08-16","","","","","","",False,"","","","","","","https://www.linkedin.com/company/iqvia","","","","","","","","","","","","","medical science liaison"
"li-4453603452","linkedin","https://www.linkedin.com/jobs/view/4453603452","","Senior Clinical Research Associate","TRIO - Translational Research in Oncology","Rome, Latium, Italy","2026-08-13","","","","","","",False,"","","","","","","https://ca.linkedin.com/company/trio---translational-research-in-oncology","","","","","","","","","","","","","medical science liaison"
"li-4444854467","linkedin","https://www.linkedin.com/jobs/view/4444854467","","Clinical Research Associate - Italy - Remote","Worldwide Clinical Trials","Rome, Latium, Italy","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/worldwide-clinical-trials-inc-","","","","","","","","","","","","","medical science liaison"
"li-4446308405","linkedin","https://www.linkedin.com/jobs/view/4446308405","","MEDICAL LEAD ONCOLOGY","Gruppo Servier in Italia","Rome, Latium, Italy","2026-08-14","","","","","","",False,"","","","","","","https://it.linkedin.com/company/gruppo-servier-in-italia","","","","","","","","","","","","","medical liaison"
"li-4453702548","linkedin","https://www.linkedin.com/jobs/view/4453702548","","Medical Director - Oncology , Sponsor Dedicated (Home-Based)","IQVIA","Rome, Latium, Italy","2026-08-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/iqvia","","","","","","","","","","","","","medical liaison"
"li-4454527486","linkedin","https://www.linkedin.com/jobs/view/4454527486","","Clinical Research Manager","TFS HealthScience","Rome, Latium, Italy","2026-08-14","","","","","","",False,"","","","","","","https://se.linkedin.com/company/tfs-cro","","","","","","","","","","","","","MSL"
"in-b7d3e0f78e0b7498","indeed","https://it.indeed.com/viewjob?jk=b7d3e0f78e0b7498","https://grnh.se/13bth222teu","Digital Marketing Specialist","Exein","Roma, LAZ, IT","2026-08-17","","","","","","",False,"","","","","**About us:**  

The physical and digital worlds are merging. Vehicles, medical devices, industrial systems, critical infrastructure: security hasn't kept pace. AI is accelerating everything, from the capabilities of the systems we depend on to the sophistication of the threats targeting them. A software vulnerability can now have physical consequences. A physical breach can compromise entire digital ecosystems. Billions of devices operate with little to no protection, and traditional approaches can't keep up. Not at this scale, not at this speed, and not across this diversity of systems.  

Exein exists to solve this. We build the security layer for a world where physical and digital threats are no longer separate problems, from kernel\-level runtime protection on embedded devices to cloud\-native platforms that analyze, protect, and prove compliance across entire device fleets. We're not patching the old model. We're building security from the core out.

  


**About the Role**



We are looking for a **Digital Marketing Specialist** who combines technical skills, growth instincts, and creative vision to run Exein's marketing engine end\-to\-end — from CRM and data foundations to paid acquisition and video creative. Reporting to the Head of Marketing, you'll generate qualified leads, optimize conversion performance, and run growth experiments to expand Exein's presence in the embedded and Physical AI cybersecurity.

  


**Key Responsibilities**

  

**CRM, Email Marketing, Landing Pages \& Data Tracking**


* Build and optimize lead nurture workflows, trigger campaigns, and retention strategies in Salesforce Marketing Cloud.
* Own email marketing end\-to\-end: templates, copy, A/B testing, scheduling, deliverability.
* Manage segmentation, database hygiene, and lifecycle metrics.
* Configure GA4 and GTM to ensure accurate tracking across ads, web, and pipeline stages.

  


**Paid Acquisition \& Growth (ADV)**


* Plan and optimize paid media across Google (Search, Display, YouTube), Meta, and LinkedIn.
* Run campaigns around lead magnets, gated content, webinars, and demos.
* A/B and multivariate test landing pages, ad copy, creative, and conversion pathways.
* Test emerging channels (Reddit Ads, niche platforms, developer networks).
* Report on KPIs across GA4, HubSpot, and ad platform dashboards

  


**Video Marketing Strategy \& Agency Direction**


* Map out end\-to\-end video strategies tailored for every stage of the funnel (Awareness hooks, Consideration explainers, and Conversion direct\-response ads).
* Translate business targets into actionable briefs, scripts, storyboards, and mood boards for external creative agencies and production studios.
* Connect video assets directly into our performance setups and CRM nurture sequences, analyzing drop\-off rates and completion metrics to direct agency re\-cuts and iterations.

  


**Product \& Strategic Alignment**


* Partner with the Corporate Communication Manager and product leadership on growth priorities, channel mix, and GTM positioning.
  


**What We Are Looking For**


* 5\+ years in digital marketing, ideally in agency environments managing multi\-channel strategies.
* Strong technical grounding in CRM/data architecture plus proven paid acquisition performance.
* Experience briefing and directing video production partners.
* Self\-driven, comfortable owning goals and solving problems independently.

  


**Location:**



Rome, Piazzale Flaminio 19, 00197 (Hybrid)

  


**Salary range:**  

€ 35K \- €50K


**The first interview will be held in English**


**Non english CVs will not be taken into account**

  

*Exein is committed to creating an inclusive workplace. We evaluate all applications fairly regardless of gender, age, ethnicity, background, or orientation.*","","https://it.indeed.com/cmp/Exein","","","","","","","","","","","","","medical manager"
"li-4441564283","linkedin","https://www.linkedin.com/jobs/view/4441564283","","Vice President Regulatory Affairs - Cluster","Perrigo Company plc","Rome, Latium, Italy","2026-08-14","","","","","","",False,"","","","","","","https://ie.linkedin.com/company/perrigo","","","","","","","","","","","","","medical manager"
"in-670ddf86f0162ada","indeed","https://it.indeed.com/viewjob?jk=670ddf86f0162ada","https://translated.applytojob.com/apply/EyLPdAJmOR/Deep-Learning-Scientist-Foundation-Models?source=INDE&~","Deep Learning Scientist – Foundation Models","Translated","Roma, LAZ, IT","2026-08-12","fulltime","","","","","",False,"","","","","**About Translated**  

  

Translated is on a mission to allow everyone to understand and be understood, in their own language. We are a technology\-powered professional translation provider. We partner with over 200,000 professional translators worldwide, in 200 languages. Our 310,000 clients range from private individuals who need their CV translated to some of the world's largest companies, such as Uber and Airbnb.  

  

Our progress is largely powered by our ability to leverage scientific progress and realize the best synergy between humans and machines. We invest heavily in R\&D, including Large Language Models, Machine Translation, expressive speech synthesis, and privacy\-preserving training. We operate as a science\-driven company, where scientific innovations quickly make their way into production and have a measurable impact on our products and operations.  

  

**We are looking for a Deep Learning Scientist to join our Foundation Models team, working on the development of large\-scale textual language models from scratch.**  

  

The ideal candidate has a strong interest in Large Language Models, large\-scale deep learning, and experimental research, and is excited about pushing the state of the art in multilingual language modeling.  

  

**The Project: Foundation Models**  

  

Translated is building its own generation of **multilingual Foundation Models**, with the ambition of advancing the state of the art in open Large Language Models, particularly in multilingual capabilities.  

Our work covers the complete LLM pre\-training lifecycle: from data selection and curation to model architecture, scaling experiments, large\-scale distributed training, evaluation, and continued training.  

A central research question for the team is how to build models that perform strongly not only in English, but across a broad range of languages, including languages that are traditionally underrepresented in large\-scale pre\-training datasets.  

  

This involves research across areas such as:* large\-scale language model pre\-training
* multilingual language modeling
* data curation, filtering, scoring, and mixture design
* scaling laws and training dynamics
* model architecture and optimization
* distributed and multi\-GPU training
* evaluation and benchmarking of Large Language Models
* continued pre\-training and mid\-training strategies


You will work in the **Foundation Models team**, a multidisciplinary group of scientists and engineers responsible for designing, training, and evaluating Translated’s next generation of Large Language Models.  

  

The team works closely with Translated's AI Research and Engineering organizations, combining experimental research with the engineering required to train models at scale on large GPU clusters and HPC infrastructure.  

  

**Responsibilities*** design and conduct research on Large Language Model pre\-training
* design experiments, implement them in code, run them at scale, and analyze their results
* investigate model architectures, optimization strategies, training dynamics, and scaling behavior
* research and develop multilingual training strategies
* work on data selection, quality, composition, and data mixture experiments for LLM pre\-training
* evaluate models across multilingual and general\-purpose benchmarks
* monitor and benchmark the state of the art in Large Language Models
* run experiments on large\-scale GPU and HPC infrastructure
* translate research hypotheses into measurable experiments and actionable decisions for large\-scale training

**Requirements*** 3\+ years of research/industry experience in a relevant area of Deep Learning, Machine Learning, Natural Language Processing, or Large Language Models
* strong understanding of modern deep learning and Transformer\-based language models
* excellent programming skills in Python
* experience designing and running machine learning experiments
* familiarity with GPU\-based training environments and Unix/Linux systems
* ability to analyze experimental results and make research decisions based on empirical evidence
* interest in large\-scale experimental research and language model pre\-training
* ability to follow, understand, and reproduce recent scientific literature
* excellent written and spoken English
* ability to work effectively with both researchers and engineers

**Bonus points if...*** you have direct experience pre\-training or continuing the pre\-training of Large Language Models
* you have experience with distributed and multi\-GPU training
* you have worked with large\-scale training frameworks such as Megatron Bridge
* you have experience optimizing GPU utilization, throughput, memory consumption, or large\-scale training stability
* you have worked on multilingual NLP or multilingual language models
* you have experience with large\-scale dataset curation, filtering, deduplication, or data mixture design
* you have experience with LLM evaluation and benchmarking
* you have experience working with HPC environments

**Our Offer**  

  

Depending on expertise, the offered salary typically ranges between €40\.000,00 and €55\.000,00\. Compensation generally grows quickly as experience leads to greater contributions. Exceptionally strong candidates may be offered salaries above this range to acknowledge their higher potential impact.  

  

We offer a flexible smart\-working policy, while requiring regular presence at our Rome headquarters.  

  

**Headquarter**  

  

Translated is hosted at Pi Campus, a working environment immersed in nature where six luxury villas in Rome, Italy, have been converted into functional offices designed to foster talent growth. Pi Campus is also a venture firm created by Translated to reinvest part of its profits into promising AI startups.  

  

**Benefits and Perks**  

  

At Translated, we see our people as athletes, and Pi Campus as the place where they can reach their full potential. This vibrant environment fosters talent aggregation and continuous growth of mind, body, and spirit.  

We nurture and support the team's personal and professional development every day through growth\-oriented initiatives such as personalized learning paths and networking events with industry leaders; health\-oriented initiatives including massages, sauna, workouts in our gym and swimming pool; as well as relaxation rooms, open meeting rooms, a cafeteria, and fully equipped kitchens in every villa.  

In case of need, every team member has access to psychological, legal, and financial support.  

Learn more about our company: https://translated.com/work\-at\-translated\-onboarding.  

  

**Diversity Statement**  

  

At Translated, we proudly embrace and celebrate each individual's unique qualities, regardless of race, sexual orientation, gender identity, or any other differences. We recognize that diverse perspectives empower us to overcome challenges, foster innovation, and drive excellence.  

As an inclusive and equal\-opportunity employer, we are committed to cultivating an environment where everyone feels welcome, valued, and supported to achieve their full potential.
Privacy Policy




EyLPdAJmOR","","https://it.indeed.com/cmp/Translated","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/64c8831f224a900c4c4f478c7cca0fe2","https://translated.com/lavora-con-noi","Rome","11 to 50","","","","","","","","","evidence generation"
"in-7efa4dfc96a974b0","indeed","https://it.indeed.com/viewjob?jk=7efa4dfc96a974b0","https://jobs.msd.com/gb/en/job/R410459","Stage nel dipartimento di Ricerca Clinica","MSD","Roma, LAZ, IT","2026-08-17","fulltime","","","","","",False,"","","","","Job Description
  
  

**Luogo:** Roma
  
**Modalità:** Ibrida
  
**Rimborso spese:** €800,00 lordi al mese
  
**Durata:** Lo stage verrà strutturato su un periodo di 12 mesi.
  
  

Stage iniziale di 6 mesi con possibilità di rinnovo di altri 6 mesi.La possibilità di attivare anche uno stage curricolare costituisce un elemento preferenziale.
  
  

Il paziente è al centro di tutto ciò che facciamo, motivo per cui i nostri team si concentrano sulla ricerca di soluzioni e trattamenti per alcune delle malattie più difficili del mondo.
  
Il candidato verrà inserito nel nostro dipartimento a supporto dell’attività lavorativa.
  
Il profilo del candidato verrà inserito in un percorso formativo in accordo al suo background di studi e le aspirazioni professionali grazie al quale potrà accrescere le proprie competenze professionali collaborando attivamente con tutto il team.
  
  

L’obiettivo principale dello stage è fornire al Tirocinante le competenze necessarie per garantire un corretto e completo svolgimento delle attività richieste all’attivazione e alla successiva conduzione degli studi clinici nell’ambito della sperimentazione clinica dei medicinali.
  
  

**Attività del progetto formativo:**  

* Percorso Finanziario/Amministrativo:
* Supporto ai team che si occupano della negoziazione del budget e della redazione dei contratti per gli studi clinici
* Supporto al team che si occupa della gestione dei pagamenti delle attività svolte dai pazienti durante l’esecuzione dello studio clinico
* Aggiornamento tracker locali
* Archiviazione elettronica della documentazione di studio a supporto dei pagamenti


**Profilo:**  

* Provenienza da studi di laurea in discipline scientifiche/laurea in economia
* Iscrizione e Partecipazione Master in Ricerca Clinica o affini.
* Buon uso del PC, pacchetti Office: Word, Excel, Posta Elettronica.
* Conoscenza della lingua inglese.
* Buone doti analitiche, precisione e organizzazione, proattività e problem solving, ottime capacità relazionali e autonomia nel portare a termine compiti assegnati.
* Propensione al lavoro di team
* Flessibilità e dinamicità.


**Required Skills:**  

Accounts Payable Management, Accounts Payable Management, Analytical Problem Solving, Clinical Medicine, Clinical Research, Clinical Site Monitoring, Clinical Trials, Clinical Trials Analysis, Clinical Trials Monitoring, Data Analytics, Database Management, Data Entry, Data Visualization, Document Management, Early Clinical Development, English Language, Health Economics, Language Assessments, Office Applications, Payment Handling, Pharmacogenetics, Process Improvements, Project Management, Reporting and Analysis, Researching {\+ 2 more}
  
  

**Preferred Skills:**  

Current Employees applyHERE
  
  

Current Contingent Workers applyHERE
  
  

Search Firm Representatives Please Read Carefully
  
Merck Co., Inc., Rahway, NJ, USA, also known as Merck Sharp Dohme LLC, Rahway, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre\-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.
  
  

**Employee Status:**  

Intern/Co\-op (Fixed Term)
  
  

**Relocation:**  

No relocation
  
  

**VISA Sponsorship:**  

No
  
  

**Travel Requirements:**  

No Travel Required
  
  

**Flexible Work Arrangements:**  

Not Applicable
  
  

**Shift:**  

Not Indicated
  
  

**Valid Driving License:**  

No
  
  

**Hazardous Material(s):**  

N/A
  
  

**Job Posting End Date:**  

08/25/2026\*A job posting is effective until 11:59:59PM on the dayBEFORE the listed job posting end date. Please ensure you apply to a job posting no later than the dayBEFORE the job posting end date.
  
**Requisition ID:** R410459","Pharmaceuticals","https://it.indeed.com/cmp/Msd","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d2d31e6f7c0267d2f6ddf3d60e74d52a","https://jobs.msd.com/netherlands-dutch","Merck & Co., Inc., Rahway, NJ USA","10,000+","more than $10B (USD)","We aspire to be the premier research-intensive biopharmaceutical company in the world. Innovation and scientific excellence are at the core of what we do in pursuit of our purpose to save and improve.","","","","","","","clinical development"
