"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"li-4402914366","linkedin","https://www.linkedin.com/jobs/view/4402914366","","Medical Science Liaison -IMMU","Novartis Pharma Schweiz","","2026-04-15","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/novartis-pharma-schweiz","","","","","","","","","","","","","medical liaison"
"li-4401112720","linkedin","https://www.linkedin.com/jobs/view/4401112720","","Clinical Research Nurse","University of Chicago","Chicago, IL","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/school/uchicago/","","","","","","","","","","","","","medical liaison"
"li-4399776166","linkedin","https://www.linkedin.com/jobs/view/4399776166","","ADIUM: Medical Science Liaison","Advice Uruguay","Montevideo, Uruguay","2026-04-14","","","","","","",False,"","","","","","","https://uy.linkedin.com/company/advice-consulting","","","","","","","","","","","","","medical liaison"
"li-4401550850","linkedin","https://www.linkedin.com/jobs/view/4401550850","","Manager, Oncology Medical Science Liaison（MSL）","Bristol Myers Squibb","","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/bristol-myers-squibb","","","","","","","","","","","","","medical liaison"
"li-4401582611","linkedin","https://www.linkedin.com/jobs/view/4401582611","","Senior Manager - Medical Affairs & Nutrition Science","Danone","Mumbai, Maharashtra, India","2026-04-14","","","","","","",False,"","","","","","","https://fr.linkedin.com/company/danone","","","","","","","","","","","","","medical liaison"
"li-4402022887","linkedin","https://www.linkedin.com/jobs/view/4402022887","","Area Director, Field Medical Affairs (West)","Cogent Biosciences","Boulder, CO","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cogentbiosciences","","","","","","","","","","","","","medical liaison"
"li-4400095342","linkedin","https://www.linkedin.com/jobs/view/4400095342","","Medical Science Liaison, NV/UT/ID","Gilead Sciences","","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/gilead-sciences","","","","","","","","","","","","","medical liaison"
"li-4401767376","linkedin","https://www.linkedin.com/jobs/view/4401767376","","Clinical Liaison - Inpatient Rehab - RN , PT , OT , SLP","HonorHealth Rehabilitation Hospital","Scottsdale, AZ","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/honorhealth-rehabilitation","","","","","","","","","","","","","medical liaison"
"li-4399678168","linkedin","https://www.linkedin.com/jobs/view/4399678168","","Medical Science Liaison - Chicago","IQVIA","Chicago, IL","2026-04-13","","","","","","",False,"","","","","","","https://www.linkedin.com/company/iqvia","","","","","","","","","","","","","medical liaison"
"li-4401373248","linkedin","https://www.linkedin.com/jobs/view/4401373248","","Manager, Medical Affairs & Academics","Windsor Regional Hospital","Windsor, Ontario, Canada","2026-04-13","","","","","","",False,"","","","","","","https://ca.linkedin.com/company/windsor-regional-hospital","","","","","","","","","","","","","medical liaison"
