"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"in-b4eebdfd29117662","indeed","https://it.indeed.com/viewjob?jk=b4eebdfd29117662","https://gsknch.wd3.myworkdayjobs.com/en-US/GSKCareers/job/Milan-via-Monte-Rosa/South-Europe-Regulatory-Lead_543848-1","South Europe Regulatory Lead","Haleon","Milano, LOM, IT","2026-05-25","fulltime","","","","","",False,"","","","","Welcome to Haleon. We’re a purpose\-driven, world\-class consumer company putting everyday health in the hands of millions. In just three years since our launch, we’ve grown, evolved and are now entering an exciting new chapter – one filled with bold ambitions and enormous opportunity.  

  

Our trusted portfolio of brands – including Sensodyne®, Panadol®, Advil®, Voltaren®, Theraflu®, Otrivin®, and Centrum® – lead in resilient and growing categories. What sets us apart is our unique blend of deep human understanding and trusted science.  

  

Now it’s time to fully realise the full potential of our business and our people. We do this through our Win as One strategy. It puts our purpose – to deliver better everyday health with humanity – at the heart of everything we do. It unites us, inspires us, and challenges us to be better every day, driven by our agile, performance\-focused culture.

**About the role**


As a Regulatory Affairs Lead for Southern Europe, you will be responsible for leading regulatory strategy, operations, compliance and risk management activities across the Southern Europe markets. In addition, you will have direct responsibility for all Regulatory Affairs activities in Italy, acting as the local RA accountable.


The role reports to the Europe Regulatory Clusters \& Operations Lead

**Role Responsibilities**

* Establish strategic direction for all regulatory processes in the Cluster countries in alignment with Operating Unit (OU) Regulatory Affairs strategy \& objectives and cluster functions strategy \& objectives (Commercial, Medical, etc.).
* Ensure the regulatory strategy is executed for the registration of the products intended to be placed on the cluster markets.
* Ensure the appropriate maintenance of the existing licenses.
* Ensure the advertising and promotional materials are approved (in case it is relevant) and in line with the local legislation requirements in all Cluster countries.
* Ensure regulatory contribution to the local claims’ development and localisation of the Global and/or OU developed claims in collaboration with relevant stakeholders (Marketing, Medical, etc.).
* Lead regulatory governance in the cluster and ensure local responsibilities relating to regulatory conformance (local regulations, corporate policies and procedures) are adhered to.
* Lead maintenance of records through development and implementation of effective procedures to ensure that all regulatory processes and information are traceable and aligned with local regulations, corporate policies and procedures.
* Ensure an effective regulatory internal control framework is in place, including appropriate processes and associated training to ensure staff are compliant with regulatory and associated legal requirements.
* Ensure implementation of processes and tracking of relevant metrics as defined by OU Regulatory Affairs Key Performance Indicators (KPIs).
* Facilitate the strategic development and deployment of regulatory projects through prioritisation, allocation of resources, and enabling communication across functions within Local Operating Countries (LOCs), at the cluster, OU and global levels.
* Ensure effective recruitment and personal and professional development of staff through a coordinated, well managed, strategically aligned programme.
* Accountable for Cluster regulatory objectives, including resource allocation and the budgeting process for regulatory activities.
* Enable and participate in continuous dialogue, co\-operation and planned resolution of major issues of concern with key regulators and other health authorities.
* Ensure appropriate advocacy strategies are in place to shape evolving legislation/requirements in partnership with relevant internal stakeholders/functions, external experts and local Trade Associations
* The role is part of the Europe Operating Unit (OU) regulatory leadership team and Italy leadership team, contributing to setting the broader regulatory strategy for the entire OU. This involvement indicates a higher level of strategic influence and decision\-making across multiple regions.
* As part of the cluster leadership team, the role plays a critical part in aligning regulatory strategies with cluster objectives, ensuring cohesive and effective regulatory practices across the countries within the cluster.
* The role serves as the SPOC for the cluster GM, facilitating communication and coordination between regulatory affairs and broader business objectives. This responsibility underscores the role's importance in integrating regulatory strategies with overall business goals.

**Qualifications \& experience**

**Why you?**

**Basic Qualifications**

* Bachelor’s degree (preferably in Medicine and Surgery, Pharmacy, or Pharmaceutical Chemistry and Technology, CTF).
* 5 or more years’ industry regulatory affairs experience
* 5 or more years leading matrixed teams across global regions
* Multi\-lingual (English and Italian)

**Preferred Qualifications**

* PhD or Master’s degree in life sciences or pharmacy
* Strong technical knowledge to be able to assess regulatory compliance of products
* Ability to interact with regulatory officials and support advocacy initiatives

**Haleon behaviours expectations**


Our values and expectations are at the heart of everything we do and form an important part of our culture. The successful candidate will demonstrate the following capabilities:

* Agile and distributed decision\-making – using evidence and applying judgement to balance pace, rigour and risk
* Managing individual and team performance
* Committed to delivering high quality results, overcoming challenges, focusing on what matters, and execution
* Implementing change initiatives and leading change
* Sustaining energy and well\-being, building resilience in teams
* Continuously looking for opportunities to learn, build skills and share learning both internally and externally
* Developing people and building a talent pipeline
* Translating strategy into action – a compelling narrative, motivating others, setting objectives and delegation
* Building strong relationships and collaboration, managing trusted stakeholder relationships internally and externally
* Budgeting and forecasting, commercial and financial acumen


Location – this role is based in: Milan, Italy.

  

**Job Posting End Date**

  


2026\-06\-24**Equal Opportunities**
-----------------------


Haleon are committed to mobilising our purpose in a way that represents the diverse consumers and communities who rely on our brands every day. It guides us in creating an inclusive culture, where different backgrounds and views are valued and respected – all in support of understanding and best serving the needs of our consumers and unleashing the full potential of our people. It’s important to us that Haleon is a place where all our employees feel they truly belong.
  

  

During the application process, we may ask you to share some personal information, which is entirely voluntary. This information ensures we meet certain regulatory and reporting obligations and supports the development, refinement, and execution of our inclusion and belonging programmes that are open to all Haleon employees.
  

  

The personal information you provide will be kept confidential, used only for legitimate business purposes, and will never be used in making any employment decisions, including hiring decisions.

**Adjustment or Accommodations Request**
----------------------------------------


If you require a reasonable adjustment or accommodation or other assistance to apply for a job at Haleon at any stage of the application process, please let your recruiter know by providing them with a description of specific adjustments you are requesting. We’ll provide all reasonable adjustments to support you throughout the recruitment process and treat all information you provide us in confidence.

**Note to candidates**
----------------------


The Haleon recruitment team will contact you using a Haleon email account (@haleon.com). If you are not sure whether the email you received is from Haleon, please get in touch.","","https://it.indeed.com/cmp/Haleon","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2d041011da7c631d4376b9431eb60375","https://www.haleon.com/","","10,000+","","A health company that puts people first, we exist to deliver better everyday health with humanity.","","","","","","","regulatory affairs"
"in-88a003c58b4382ed","indeed","https://it.indeed.com/viewjob?jk=88a003c58b4382ed","https://joblink.allibo.com/ats3/job-offer.aspx?DM=1815&ID=101311&LN=IT&SG=3&FT=10&MD=1","Junior Management Consulting (Luxembourg Projects)","CRPI Digital Group","LOM, IT","2026-05-21","","","","","","",False,"","","","","**Chi siamo:**  

Oggi CRPI Digital è la capofila di un gruppo interamente dedicato all’innovazione tecnologica, alla transizione digitale e al business consulting. Rappresenta l’evoluzione naturale di un percorso imprenditoriale avviato nel 2002 con la fondazione di Interlem, prima società del gruppo tutt’ora operativa, da cui eredita una solida tradizione di competenze nell’ambito dell’ICT, della trasformazione digitale e della consulenza strategica.
  
  

Il Gruppo continua a crescere e a innovare con l’obiettivo di rispondere in modo sempre più efficace e sostenibile alle sfide del mercato e della società. Crediamo che il valore di un’impresa non si misuri solo nei risultati economici, ma anche nella capacità di generare un impatto positivo sui territori e sulle comunità in cui opera.
  
  

Da novembre 2024, CRPI Digital fa parte del network Lounge Elite di Intesa Sanpaolo presso Borsa Italiana – Gruppo Euronext.
  
  

**Opportunità lavorativa:**  

Avvant è la struttura in forte crescita dedicata ai servizi di Advisory \& Consulting di CRPI Digital. Attraverso un approccio di management consulting strategico, Avvant accompagna le aziende nel percorso della Twin Transition, promuovendo l’integrazione tra trasformazione digitale e sostenibilità.
  
  

**Le principali aree di intervento di Avvant includono:** Executive Advice, AI \& Data Intelligence, Cybersecurity Advisory, Innovation \& Sustainability, Cloud Strategy.
  
  

Siamo alla ricerca di persone che assumano il ruolo di Junior Management Consultant.
  
  

**Principali Responsabilità:**  

Interagire e collaborare con le figure Senior del team per interagire con i C\-level e/o con gli stakeholder decisionali, mantenendo relazioni di fiducia e offrendo consulenza strategica.
  
Svolgere attività di governance in particolare garantendo lo sviluppo e l'esecuzione di strategie, piani e attività di trasformazione e gestione del cambiamento in linea con gli obiettivi del Cliente ed i requisiti progettuali che declinano tali obiettivi.
  
Disegnare processi To\-Be e Target Operating Model, identificando opportunità di miglioramento e di ottimizzazione e digitalizzazion da un punto di vista di processi, organizzazione, sistemi.
  
Interagire con tutte le Società del Gruppo CRPI valorizzando tutte le sinergie che possano scaricare a terra il valore delle soluzioni proposte ed offerte.
  
Gestire la Governance di programmi e/o di progetti quale punti di orchestrazione dei vari referenti e fornitori che afferiscono agli stessi.
  
Guidare e supervisionare team di progetto, garantendo l'eccellenza nella delivery.
  
Assistere nel monitoraggio e nella misurazione dell'efficacia degli sforzi di gestione del cambiamento, raccogliendo dati e approfondimenti per supportare il miglioramento continuo del Cliente declinandolo concretamente e proattivamente in obiettivi e piani di attività.
  
  

**Cosa offriamo:**  

Retribuzione competitiva ai massimi livelli, commisurata all’esperienza e all’alto profilo del ruolo;
  
Ambiente dinamico, orientato all’innovazione continua e alla valorizzazione del talento;
  
Percorsi strutturati di formazione e aggiornamento, con supporto concreto al conseguimento delle principali certificazioni professionali;
  
Partecipazione attiva a progetti ad alto contenuto di innovazione e rilevanza strategica, a contatto con clienti di primario livello.
  
  

**Aree progettuali :**  

Crediti (Lending \& Credit Management);
  
Financial Markets \& Treasury;
  
Regulatory \& Compliance (incl. DORA, AML, KYC);
  
Risk Management (Credit, Market, Operational Risk);
  
Legal \& Corporate Affairs;
  
Payments \& Transaction Banking;
  
Supply Chain Finance;
  
Trade \& Export Finance;
  
Wealth Management \& Private Banking;
  
Governance, Organization \& Transformation;
  
Finance \& Planning (Controlling, Reporting, ALM);
  
Data, Reporting \& Regulatory Reporting.
  
  

**Requisiti:**  

Laurea Magistrale in ambito STEM o Economia. Il conseguimento di un master e/o un MBA sarà considerato un plus.
  
Verrà considerato un plus il possedere certificazioni specifiche (es: PMP Certification, Scrum Certification).
  
Almeno 1 \- 2 anni di esperienza nel ruolo preferibilmente con esposizione internazionale.
  
Comprovata esperienza nel guidare con successo iniziative di gestione del cambiamento dall'ideazione al completamento nell'ambito della trasformazione digitale.
  
L’aver maturato esperienza in progetti SAP, Data Intelligence, Business Intelligence verrà considerato un elemento distintivo.
  
Uso fluente della lingua inglese sia scritta che parlata nei contesti lavorativi. La conoscenza di altre lingue verrà considerata un plus.
  
Aver maturato esperienze lavorative in contesti internazionali/esteri
  
Ottime capacità relazionali, comunicative, di coordinamento e gestione delle attività e dei team.
  
  

**Sede di Lavoro:**  

**Sede di lavoro:** Lussemburgo
  
  

\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-
  
  

Il presente annuncio è rivolto a candidati ambosessi in conformità al D.Lgs. n.198 del 2006 e ai D.Lgs. n.215 e n.216 in tema di parità di trattamento.
  
I dati richiesti verranno trattati nell’assoluto rispetto delle disposizioni contenute nel Regolamento Europeo 679/2016 (General Data Protection Regulation \- “GDPR” o “Normativa Privacy”) e sue successive modificazioni ed integrazioni.","","https://it.indeed.com/cmp/Crpi-Digital-Group","","","","","","","","","","","","","regulatory affairs"
"in-5fe88d435d5ba829","indeed","https://it.indeed.com/viewjob?jk=5fe88d435d5ba829","https://bostonscientific.eightfold.ai/careers/job/563602812364400?domain=bostonscientific.com","Quality System Specialist - Field Action (FA) Process","Boston Scientific","Milano, LOM, IT","2026-05-18","","","","","","",False,"","","","","**Additional Locations:** Italy\-Milan; Spain\-Madrid; United Kingdom\-Hemel Hempstead

**Diversity \- Innovation \- Caring \- Global Collaboration \- Winning Spirit \- High Performance**


At Boston Scientific, we’ll give you the opportunity to harness all that’s within you by working in teams of diverse and high\-performing employees, tackling some of the most important health industry challenges. With access to the latest tools, information and training, we’ll help you in advancing your skills and career. Here, you’ll be supported in progressing – whatever your ambitions.

 **Background**


We are seeking an additional resource to support Field Action execution and to drive ongoing FA related process improvement initiatives, within the European, Middle East and Africa (EMEA) Region.

 **Role Overview**


The Quality System Specialist will play a pivotal role as a Regional Field Action Coordinator (RFAC), supporting the EMEA Field Action Process. This individual will be part of a dedicated team responsible for planning, executing, and closing field actions, as well as identifying and implementing process improvement initiatives in collaboration with impacted stakeholders.

  

This role involves close partnership with Global, Regional, and in\-country Quality FA teams, as well as cross\-functional stakeholders in Marketing, Regulatory Affairs, and Customer Care. Success in this position requires excellent interpersonal skills and stakeholder management experience, with a strong focus on process efficiency, while ensuring adherence to quality system requirements that meet Boston Scientific, customer, and regulatory expectations.

  

This a a hybrid position, which means working three days from the office and two days from home.

 **Key Responsibilities**

* Manage the EMEA Regional Field Action process execution steps in accordance with defined procedures.
* Collaborate with cross\-functional teams (Regulatory, Quality, Customer Care) to ensure stakeholder understanding and expectations in relation to Field Action activities.
* Represent EMEA Quality Regional FA Team in cross\-functional meetings and improvement workstreams
* Support the execution of EMEA FA process improvement initiatives.
* Communicate effectively across all levels of the organisation, tailoring messaging to audience.
* Influence decision\-making through clear articulation of risks, trade\-offs, and business impact.
* Assist with audits and inspections related to field action processes.
* Ensure timely and accurate documentation of NCEP/CAPA investigations in accordance with established procedures in relation to the Field Action Process.

 **Qualifications \& Requirements**

* 5–7 years of experience in Quality System Management within the medical device or related industry.
* Knowledge of the Field Action execution process.
* Demonstrated ability to collaborate effectively in a global, matrixed organization.
* Experience leading cross\-functional initiatives to completion.
* Ability to work independently, and within a team, in a dynamic environment.
* Strong interpersonal, communication, and influencing skills.
* Excellent decision\-making, prioritization, problem\-solving, and time management abilities.
* High sense of urgency and commitment to execution in a fast\-paced setting.

 **Requisition ID:** 629247

  

As a leader in medical science for more than 40 years, we are committed to solving the challenges that matter most – united by a deep caring for human life. Our mission to advance science for life is about transforming lives through innovative medical solutions that improve patient lives, create value for our customers, and support our employees and the communities in which we operate. Now more than ever, we have a responsibility to apply those values to everything we do – as a global business and as a global corporate citizen.

  

So, choosing a career with Boston Scientific (NYSE: BSX) isn’t just business, it’s personal. And if you’re a natural problem\-solver with the imagination, determination, and spirit to make a meaningful difference to people worldwide, we encourage you to apply and look forward to connecting with you!","","https://it.indeed.com/cmp/Boston-Scientific","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8eb05ee652fedddb007e631d088a8f9d","https://www.bostonscientific.com","Marlborough, MA","10,000+","more than $10B (USD)","Boston Scientific is dedicated to transforming lives through innovative medical solutions that improve the health of patients around the world.","","","","","","","regulatory affairs"
"li-4343985374","linkedin","https://www.linkedin.com/jobs/view/4343985374","","Regulatory Affairs | Brescia","Biopharmed","","2026-05-22","","","","","","",False,"","","","","","","https://it.linkedin.com/company/biopharmed-life-sciences-recruiting","","","","","","","","","","","","","regulatory affairs"
"li-4414344339","linkedin","https://www.linkedin.com/jobs/view/4414344339","","Regulatory Affairs","Adecco","Paderno Dugnano, Lombardy, Italy","2026-05-22","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/adecco","","","","","","","","","","","","","regulatory affairs"
"li-4377177028","linkedin","https://www.linkedin.com/jobs/view/4377177028","","Regulatory Affairs CMC Specialist","Recordati","Milan, Lombardy, Italy","2026-05-22","","","","","","",False,"","","","","","","https://it.linkedin.com/company/recordati","","","","","","","","","","","","","regulatory affairs"
"li-4418074856","linkedin","https://www.linkedin.com/jobs/view/4418074856","","Stage International Regulatory Affairs","Perfetti Van Melle","Lainate, Lombardy, Italy","2026-05-22","","","","","","",False,"","","","","","","https://nl.linkedin.com/company/perfetti-van-melle","","","","","","","","","","","","","regulatory affairs"
"li-4410399356","linkedin","https://www.linkedin.com/jobs/view/4410399356","","Quality Assurance Coordinator - Medical Devices III","Hays","","2026-05-22","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/hays","","","","","","","","","","","","","regulatory affairs"
"li-4416534389","linkedin","https://www.linkedin.com/jobs/view/4416534389","","Regulatory Affairs Associate - onsite (interim contract)","Gi Group","Lugano, Ticino, Switzerland","2026-05-21","","","","","","",False,"","","","","","","https://it.linkedin.com/company/gi-group","","","","","","","","","","","","","regulatory affairs"
"li-4408772783","linkedin","https://www.linkedin.com/jobs/view/4408772783","","International Regulatory Affairs Project Manager","Recordati","Milan, Lombardy, Italy","2026-05-21","","","","","","",False,"","","","","","","https://it.linkedin.com/company/recordati","","","","","","","","","","","","","regulatory affairs"
