"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"in-c20ebbca8eadae83","indeed","https://it.indeed.com/viewjob?jk=c20ebbca8eadae83","https://gsk.wd5.myworkdayjobs.com/en-US/GSKCareers/job/Italy---Verona/Market-Access-Manager-Onco-Haematology_443292-1","Market Access Manager Onco-Haematology","GSK","Verona, VEN, IT","2026-06-18","fulltime","","","","","",False,"","","","-inclusion.recruitment@gsk.com","*GSK remains committed to achieving bold commercial ambitions for the future. By 2031, we aim to deliver £40 billion in annual sales, leveraging our existing strong performance momentum to significantly increase our positive impact on the health of billions of patients globally. Our Ahead Together strategy is centred on early intervention to prevent and alter the course of disease, thereby protecting people and supporting healthcare systems.*  

*Our diverse portfolio consists of vaccines, specialty medicines, and general medicines.*  

*Through continuous innovation and a dedicated focus on scientific and technical excellence, we strive to develop and launch new, groundbreaking treatments that address critical health challenges.*

**Job title:** Market Access Manager Onco\-Haematology


**Location** : Verona \- modalità ibrida


**Employment type:** Permanent, full time


**Closing date for applications:** 28 giugno 2026


**In breve:**

Per l’area **Onco\-Haematology** , stiamo cercando un/a ***Market Access Manager*** che assumerà la piena accountability degli assets dell’area Onco\-ematologica del portafoglio GSK, creando e sostenendo una proposizione di valore in linea con la prospettiva dei pagatori nazionali e regionali.


La persona selezionata si confronterà con:


* External Expert che partecipino ai meccanismi di valutazione del Farmaco
* Policy Makers di sanità pubblica
* Direttori Marketing
* Launch Lead
* Direzione Medica
* Finance
* Regulatory
* RAM (Regional Access Manager)
* KAM (Key Account Manager)
* Government Affairs

**Sarà inoltre responsabile di:**

* preparare e sviluppare la strategia di negoziazione P\&R.
* generare evidenze farmacoeconomiche per sostenere la proposizione di valore dei prodotti.
* contribuire, in sinergia con il team cross\-funzionale locale ed europeo, alla generazione di Studi di *Real World Evidence.*
* interpretare le aspettative del pagatore per quanto riguarda il concetto di valore del prodotto attraverso una interazione costruttiva con gli esperti esterni, i policy makers, i decisori pubblici e le agenzie regionali di accesso al mercato.
* analizzare i trend normativi e di politiche sanitarie al fine di valutarne gli impatti per la pipeline aziendale.
* mantenere il coordinamento con il network internazionale di Market Access e Value \& Health Outcome per quanto riguarda i prodotti assegnati.
* assicurarsi che i piani contengano le misure più efficaci, in linea con i trend analizzati, per elaborare una proposta di valore appropriata per i decisori.
* partecipare in modo attivo ai meeting di team interdipartimentali di Market Access.
* gestire le evidenze durante l’intero life cycle del prodotto.
* adottare una visione strategica basata sul flusso: outcome\-\> come \-\> cosa.
* garantire una costante mappatura degli stakeholder ed il loro ingaggio.
* partecipa attivamente alla costruzione dei forecast (strategia \& forecast).
* owner dei progetti in collaborazione con RAM, con i quali ha un costante scambio reciproco di informazioni.

***Why You?***

**Basic qualifications \& skills**

**Stiamo cercando persone con queste competenze per raggiungere i nostri obiettivi:**

* Esperienza consolidata di almeno 3 anni come Market Access Manager, all’interno di team di Market Access \& Health Economics strutturati in una azienda farmaceutica (settori ad alta specializzazione).
* Esperienza consolidata in ambito oncologico e/o onco\-ematologico.
* Solide competenze di preparazione e sviluppo della strategia di negoziazione P\&R e compilazione di Dossier Negoziali.
* Partecipazione diretta e indiretta alla costruzione di piano strategico di Market Access nell'industria farmaceutica.
* Ottima conoscenza della lingua inglese parlata e scritta.

**Preferred qualifications \& skills**

**Le seguenti competenze saranno considerate un plus:**

* Essere efficace nella risoluzione di problemi e conflitti e capacità di affrontare con calma questioni gestionali e situazioni complesse.
* Comprovata capacità di influenzare gli altri e di operare con credibilità e fiducia all’interno e all’esterno dell’azienda.
* Capacità di lavorare in modo indipendente e proattivo, sviluppare credibilità tra colleghi all'interno e all'esterno del team di Market Access e di influenzare le decisioni.
* Capacità di tradurre le conoscenze scientifiche in strategie/attività orientate al business.
* Orientamento verso il cliente interno ed esterno ed essere in grado di lavorare con team e networks di diverse aree geografiche e di diverse funzioni.
* Dimostrare di poter ragionare strategicamente, analiticamente, e concettualmente.
* Capacità di operare in modo inter\-funzionale e lavorare bene in un ambiente a matrice, bilanciare le priorità e gestire molteplici attività attraverso una buona pianificazione, amministrazione del progetto e capacità organizzative.

***What We Offer:***

* Permanent contract in a very Inclusive environment
* Performance Reward
* Flexible Benefits
* Company car
* Company Healthcare Plan
* Integrative pension fund
* Employee Assistance Programme
* Tax assistance
* Personal parcel delivery service
* Local nursery agreement
* Free Company canteen
* Coffee Corners

*Please take a copy of the Job Description, as this will not be available post closure of the advert.*  

*When applying for this role, please use the ‘cover letter’ of the online application or your CV to describe how you meet the competencies for this role, as outlined in the job requirements above. The information that you have provided in your cover letter and CV will be used to assess your application.*

**\#LI\-Hybrid**

Italian Salary Range / Fascia retributiva in Italia: EUR 67,800 to EUR 113,000The annual gross base salary range for new hires in this position is listed above for each applicable location. These ranges take into account a number of factors including the candidate’s skills, experience, education level and the market rate for the role. In addition, this position may offer an annual bonus and eligibility to participate in our share based long term incentive program which is dependent on the level of the role. More detailed information on the total benefits package will be supplied during the recruitment process. This role is available for applicants from multiple locations, and therefore salary ranges for certain locations are also shown. Salary ranges for other locations are shown because some markets have pay transparency laws that require salary information on job postings, and those locations are potential job sites for this role. If salary ranges are not displayed in the job posting for a specific location or country, the relevant compensation will be discussed during the recruitment process. Please note salaries vary by country based on the candidate’s skills, experience, education level and the market rate for the role. Offers are typically made within the advertised range based on the candidate’s skills, experience and qualifications, with the upper end generally reserved for highly experienced candidates or other exceptional circumstances aligned with these criteria.La fascia salariale della Retribuzione Annua Lorda (RAL) per i nuovi assunti in questa posizione è indicata sopra per ciascuna sede applicabile. Queste fasce tengono conto di diversi fattori, tra cui le competenze, l'esperienza, il livello di istruzione del candidato e le condizioni di mercato per il ruolo. Inoltre, questa posizione potrebbe prevedere un bonus annuale e la partecipazione al nostro programma di incentivazione a lungo termine basato sull’assegnazione azioni, in funzione del livello del ruolo. Informazioni più dettagliate sull’intero pacchetto retributivo e sui benefit saranno fornite durante il processo di selezione. Questo ruolo è aperto a candidati basati in diversi paesi; per tale motivo sono indicate le fasce retributive relative a ciascun paese. La pubblicazione di tali fasce, per altri paesi, che sono possibili sedi lavorative per questa posizione, risponde a normative locali in materia di trasparenza retributiva, che richiedono l’indicazione delle retribuzioni negli annunci di lavoro. Qualora per una specifica sede o paese non sia indicata una fascia retributiva, le relative condizioni economiche saranno discusse nel corso del processo di selezione. E’ importante considerare che le retribuzioni variano da paese a paese in base alle competenze, all’esperienza, al livello di istruzione del candidato e alle condizioni di mercato per il ruolo. Le offerte vengono generalmente formulate all’interno della fascia indicata, tenendo conto delle competenze, dell’esperienza e delle qualifiche del candidato; il limite superiore è di norma riservato a candidati con un’esperienza particolarmente consolidata o a circostanze eccezionali coerenti con tali criteri.
**Why GSK?**

**Uniting science, technology and talent to get ahead of disease together.**

GSK is a global biopharma company with a purpose to unite science, technology and talent to get ahead of disease together. We aim to positively impact the health of 2\.5 billion people by the end of the decade, as a successful, growing company where people can thrive. We get ahead of disease by preventing and treating it with innovation in specialty medicines and vaccines. We focus on four therapeutic areas: respiratory, immunology and inflammation; oncology; HIV; and infectious diseases – to impact health at scale.


People and patients around the world count on the medicines and vaccines we make, so we’re committed to creating an environment where our people can thrive and focus on what matters most. Our culture of being ambitious for patients, accountable for impact and doing the right thing is the foundation for how, together, we deliver for patients, shareholders and our people.


Should you require any specific adjustments to our process to assist you in demonstrating your strengths and capabilities contact us on ita\-inclusion.recruitment@gsk.com .


Please note should your enquiry not relate to adjustments, we will not be able to support you through these channels.


GSK is an Equal Opportunity Employer. This ensures that all qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, genetic information (including family medical history), military service or any basis prohibited under federal, state or local law.


**Important notice to Employment businesses/ Agencies**

GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.


Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, GSK may be required to capture and report expenses GSK incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure GSK’s compliance to all federal and state US Transparency requirements. For more information, please visit the Centers for Medicare and Medicaid Services (CMS) website at https://openpaymentsdata.cms.gov/","","https://it.indeed.com/cmp/Gsk-5f077e22","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/28b9d8c8de2c23385f33b83ab16db15d","http://www.gsk.com","London, England","10,000+","more than $10B (USD)","","","","","","","","regulatory affairs"
"li-4428805774","linkedin","https://www.linkedin.com/jobs/view/4428805774","","Quality Assurance & Auditing Manager","Penta - Child Health Research","Padua, Veneto, Italy","2026-06-18","","","","","","",False,"","","","","","","https://it.linkedin.com/company/fondazione-penta-onlus","","","","","","","","","","","","","regulatory manager"
"li-4428055088","linkedin","https://www.linkedin.com/jobs/view/4428055088","","Quality Assurance Specialist - Pharma","Mérieux NutriSciences Italia","Resana, Veneto, Italy","2026-06-16","","","","","","",False,"","","","","","","https://it.linkedin.com/company/chelab-laboratories","","","","","","","","","","","","","regulatory specialist"
"li-4425755875","linkedin","https://www.linkedin.com/jobs/view/4425755875","","PQ Persona Qualificata","MedicAir","Vigonza, Veneto, Italy","2026-06-15","","","","","","",False,"","","","","","","https://it.linkedin.com/company/medicair","","","","","","","","","","","","","quality assurance pharma"
"in-b3cc544c00bdb4e1","indeed","https://it.indeed.com/viewjob?jk=b3cc544c00bdb4e1","https://careers.boozallen.com/careers/JobDetail?jobId=126098","Imagery Intelligence Analyst, Senior","Booz Allen Hamilton","Vicenza, VEN, IT","2026-06-18","parttime, fulltime","","","","","",True,"","","","","Imagery Intelligence Analyst, Senior**The Opportunity:**


With cloud\-based tools, faster GPUs, and the explosion of connected devices, geospatial data has more potential than ever. A skilled geospatial and remote sensing analyst can turn that data into mission critical information. If that sounds like you, we have an opportunity for you!


As a geospatial and remote sensing analyst at Booz Allen, you’ll work with a team of analysts to extract meaning and context from a variety of data sources. Using resources like SOCET GXP and iSpy, you’ll develop new ways to find patterns and connections to answer our Army's needs.


On our team, you’ll also use your skills to leverage satellite and airborne remote sensing solutions, and you’ll analyze data to assess meaning and potential intent. You’ll analyze and provide geospatial solutions for priorities like infrastructure, topography, human geography, and intelligence. Your geospatial skills will come in handy as you produce formal reports to make sure decisionmakers have the have the timely information they need.


Work with us as we turn data into knowledge to support our warfighters and protect our national security.


Join us. The world can’t wait.

**You Have:**

* Experience with tradecraft and publication
* Experience with assessments, enterprise data integration, governance, and metrics, including the application of metadata management techniques and data modeling and design
* Experience supporting decision making and special projects on integration issues, including the preparation, production, and coordination of written products and briefings for senior stakeholders
* Knowledge of Army structure and defense level intelligence operations, including intelligence collection, fusion, analysis, production, and dissemination for intelligence databases and products
* Ability to research, create, develop, and deliver professional briefings, multimedia presentations, and written reports
* Ability to manage personnel, requirements, and coordination of projects
* Ability to work rotating shifts, coordinate and support cross\-community meetings and working groups, assimilate large volumes of information, and independently produce written reports
* Active TS/SCI clearance; willingness to take a polygraph exam
* HS diploma or GED and 15\+ years of experience in Intelligence Analysis, Bachelor’s degree in a Remote Sensing, Cartography, or Geography field and 10\+ years of experience with Intelligence Analysis, or Master’s degree in a Remote Sensing, Cartography, or Geography field and 6\+ years of experience with Intelligence Analysis

**Nice If You Have:**

* Experience with intelligence operations and in assisting with drafting expert assessments across operations priorities on behalf of the stakeholder
* Knowledge of the National System for GEOINT (NSG)
* Possession of excellent verbal and written communication skills
* Possession of excellent research and analytical skills
* TS/SCI clearance with a polygraph
* Graduate of an intelligence collection and analysis school
* GEOINT Professional Certification, such as GPC\-F, GPC IA\-II, GPC GA\-II, or GPC IS\-II

**Clearance:**


Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.

**Compensation**


At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well\-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work\-life programs, and dependent care. Our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. Full\-time and part\-time employees working at least 20 hours a week on a regular basis are eligible to participate in Booz Allen’s benefit programs. Individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. We encourage you to learn more about our total benefits by visiting the Resource page on our Careers site and reviewing Our Employee Benefits page.


Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract\-specific affordability and organizational requirements. The projected compensation range for this position is $77,500\.00 to $176,000\.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees. This posting will close within 90 days from the Posting Date.**Identity Statement**


As part of the hiring process, we will ask you to complete an identity verification process that leverages advanced biometrics and artificial intelligence to ensure authenticity and protect against identity fraud. You are expected to be on camera during interviews and assessments. We reserve the right to take your picture to verify your identity and prevent fraud.

**Candidate AI Usage Policy**


AI is a part of our daily work at Booz Allen, and we are committed to the responsible and ethical use of AI tools. However, we want to ensure a fair candidate process based on **your** own skills and knowledge. As part of this commitment, the use of artificial intelligence (AI) or other tools to assist with responses during interviews (whether in\-person or virtual) is prohibited **unless permission is explicitly provided**.


**Work Model**  

Our people\-first culture prioritizes the benefits of collaboration, whether it occurs in person or virtually. To support engagement and effective communication, employees working virtually are generally expected to have their cameras on during meetings.

* **Remote**: If this position is listed as remote, there may still be occasions when you are required to work in person at a Booz Allen or customer facility.
* **Hybrid**: If this position is listed as hybrid, you will be expected to work from a Booz Allen facility frequently, in alignment with leadership expectations and the needs of the role. You may also be required to work from or visit a customer facility.
* **Onsite**: If this position is listed as onsite, work will primarily be performed at a Booz Allen office or customer facility, where employees will collaborate directly with colleagues and customers as required by the role.

**Commitment to Non\-Discrimination**


All qualified applicants will receive consideration for employment without regard to disability, status as a protected veteran or any other status protected by applicable federal, state, local, or international law.","","https://it.indeed.com/cmp/Booz-Allen-Hamilton","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/028f57a66dfd2b7345223765e5cac9ec","http://www.boozallen.com","McLean, VA","10,000+","$5B to $10B (USD)","Booz Allen is an advanced technology company delivering outcomes with speed for America’s most critical defense, civil, and national security priorities. ","","","","","","","qualified person"
"in-b172fb9ea44a6eb1","indeed","https://it.indeed.com/viewjob?jk=b172fb9ea44a6eb1","http://it.indeed.com/job/impiegatao-commerciale-telefonica-b2b-b172fb9ea44a6eb1","Impiegata/o Commerciale Telefonica B2B","MediaCom","Thiene, VEN, IT","2026-06-17","parttime","","","","","",True,"","","","","**Mediacom Srl** ricerca una figura da inserire nel proprio team per attività di sviluppo commerciale telefonico B2B svolta in outsourcing per conto di aziende clienti operanti in diversi settori.

La risorsa lavorerà dalla nostra sede gestendo campagne commerciali e attività di contatto aziendale per conto delle imprese che affidano a Mediacom la gestione del proprio sviluppo commerciale.

**L'attività si svolge prevalentemente al telefono e rappresenta il cuore del ruolo.**

Non si tratta di assistenza clienti, segreteria o attività amministrativa, ma di contatto professionale con aziende già profilate all'interno di database e CRM aziendali.

**In cosa consiste il lavoro**

La risorsa contatterà telefonicamente aziende già presenti nei database dei nostri clienti per:

* riattivare contatti commerciali inattivi;
* presentare iniziative, servizi, eventi o promozioni;
* raccogliere manifestazioni di interesse;
* individuare esigenze e opportunità commerciali;
* fissare appuntamenti o richieste di consulenza per i responsabili commerciali dell'azienda cliente;
* aggiornare CRM e schede contatto.

L'obiettivo non è effettuare vendita telefonica aggressiva, ma generare opportunità commerciali qualificate che verranno poi gestite dai commerciali delle aziende clienti.

**Cosa NON è questo lavoro**

* Non è vendita porta a porta;
* Non prevede visite commerciali esterne;
* Non prevede contatti con privati;
* Non riguarda contratti luce, gas o telefonia;
* Non consiste in chiamate casuali a nominativi non profilati.

**Chi stiamo cercando**

Una persona che:

* si esprime con naturalezza e sicurezza al telefono;
* possiede buone capacità comunicative e relazionali;
* è organizzata e precisa nella gestione delle attività;
* sa ascoltare e comprendere le esigenze dell'interlocutore;
* utilizza con facilità PC, email e strumenti digitali;
* è motivata a lavorare in un contesto commerciale B2B.

**Requisiti preferenziali**

* Esperienza in telemarketing B2B;
* Esperienza in presa appuntamenti aziendale;
* Esperienza commerciale telefonica;
* Esperienza nell'utilizzo di CRM e software gestionali.

**Cosa offriamo**

* Formazione iniziale e affiancamento;
* Database e strumenti già strutturati;
* Attività professionale esclusivamente rivolta alle aziende;
* Ambiente dinamico e meritocratico;
* Possibilità di crescita professionale;
* Contratto e compenso commisurati all'esperienza.

Cerchiamo persone che apprezzino il contatto telefonico professionale e che desiderino contribuire concretamente allo sviluppo commerciale delle aziende clienti con cui collaboriamo.

Retribuzione: €750,00 al mese

Benefit:

* Computer aziendale

Esperienza:

* telemarketing B2B: 1 anno (Obbligatorio)
* commerciale telefonica: 1 anno (Preferenziale)
* utilizzo di CRM : 1 anno (Preferenziale)

Sede di lavoro: Ibrido/da remoto (36016 Thiene)","","https://it.indeed.com/cmp/Mediacom","",""," ","","","","","","","","","","persona qualificata"
"in-599323f464d405f7","indeed","https://it.indeed.com/viewjob?jk=599323f464d405f7","http://it.indeed.com/job/parrucchiera-599323f464d405f7","parrucchiera","Vexperience","Padova, VEN, IT","2026-06-17","fulltime","","","","","",False,"","","","v.experiencepadova@gmail.com","SI RICERCA PARRUCCHIERA CON DIREZIONE TECNICA

Salone di bellezza ricerca parrucchiera qualificata con direzione tecnica per inserimento in ambiente elegante e in crescita, in zona Padova centro.

Requisiti:

\-abilitazione alla direzione tecnica

\-esperienza nel ruolo

\-autonomia nella gestione del salone

\-competenze in colore, taglio e styling

\-professionalità, cura dell'immagine e attenzione al cliente

Offriamo:

\- contesto di lavoro curato e clientela selezionata

\-possibilità di crescita e collaborazione a lungo termine

\-compenso da definire in base all'esperienza

se siete interessati, inviare email con cv a v.experiencepadova@gmail.com o un messaggio al 3761285030

Retribuzione: €669,81 \- €2\.500,00 al mese

Benefit:

* Orario flessibile

Sede di lavoro: Di persona","","https://it.indeed.com/cmp/Vexperience","","","","","","","","","","","","","persona qualificata"
"in-200523db4af6bf30","indeed","https://it.indeed.com/viewjob?jk=200523db4af6bf30","https://jobs.terna.it/job/Specialista-Analisi-di-Esercizio/30454-it_IT","Specialista Analisi di Esercizio","Terna","Scorzè, VEN, IT","2026-06-16","","","","","","",False,"","","","talentacquisition@terna.it","Direzione: Strategie di Svilup. Rete e Dispacciam.
Località lavoro: Scorzè, Veneto, 30037
Terna, gestore della rete di trasmissione nazionale (RTN), è impegnata nel processo di transizione ecologica e come regista del sistema elettrico e abilitatore della **Twin Transition** (transizione energetica e innovazione digitale), ha il compito di sviluppare una rete in grado di gestire una sempre migliore integrazione delle rinnovabili e consentire la progressiva decarbonizzazione del sistema, garantendo al contempo il costante bilanciamento tra energia prodotta e consumata.



Vuoi essere protagonista della transizione energetica e vuoi dare il tuo contributo per la costruzione del sistema energetico di domani?



Terna, nell’area del Dispacciamento è alla ricerca di persone da inserire nel ruolo di **Specialista Analisi di Esercizio** per la sede di Scorzè (VE)

  


**Attività**
------------



La figura contribuirà ad effettuare l'Analisi Preventivo Consuntivo (APC) volta a:

  


* identificare le cause tecniche degli scostamenti tecnici ed economici tra previsioni e consuntivi;
* monitorare le performance del rispetto dei limiti di tensione e di corrente;
* analizzare comportamento del SEN nel suo complesso e degli elementi di rete ai fini dell'economia e della sicurezza;
* individuando possibili azioni di miglioramento a livello di processi e strumenti a supporto dell'esercizio del SEN.
* La risorsa sarà coinvolta nella stesura del rapporto annuale di consuntivo sullo stato di funzionamento del SEN e nell'analisi dei possibili scenari di evoluzione dell'assetto del SEN e dei potenziali impatti sull'esercizio.
* La risorsa parteciperà alla definizione dei criteri per la Riaccensione e la Rialimentazione del SEN, contribuirà all'emissione del relativo Piano e alla definizione il piano annuale delle prove.

  



Le attività nello specifico saranno:

  


* Analisi bilanci energetici e scostamenti previsioni FER e fabbisogno;
* Verifiche sicurezza statica/dinamica e calcoli di rete;
* Analisi corto circuito ed eventi di rete;
* Ottimizzazione assetti e modulazioni FER;
* Definizione e supporto piani di rialimentazione e riaccensione.
**Requisiti**
-------------

  

* Laurea Magistrale in Ingegneria Elettrica/Ingegneria Energetica
* Esperienza da 1 a 3 anni
* Conoscenza della Lingua inglese livello B1 minimo richiesto
* Disponibilità a trasferte nazionali e internazionali
* Capacità di lavorare in team e per progetto

**Condizioni contrattuali**


* Tipologia contrattuale: lavoro subordinato Tempo Indeterminato
* CCNL applicato: Settore elettrico
* Categoria: Impiegato

  


**Informazioni retributive**

In conformità all’art. 5, comma 1, del D.Lgs. 96/2026, la Società rende note le informazioni relative alla retribuzione iniziale prevista per la posizione.



La retribuzione annua lorda iniziale (RAL), non inferiore a € 41\.967,69, è determinata in funzione del livello di responsabilità e delle competenze richieste, secondo criteri oggettivi, verificabili e neutrali sotto il profilo del genere e in coerenza con il CCNL applicato.

  



Eventuali riconoscimenti economici superiori rispetto alla soglia minima indicata sono attribuiti esclusivamente sulla base di elementi ulteriori, oggettivamente riscontrabili, quali, a titolo esemplificativo:


* esperienza professionale rilevante e qualificata;
* specifiche competenze tecniche o manageriali;
* livello di autonomia e responsabilità effettivamente richiesto dal ruolo.


Tali elementi sono applicati secondo criteri trasparenti e non discriminatori, nel rispetto del principio di parità di retribuzione per lavoro uguale o di pari valore.

  



Per chi lavora con noi:



Salute e futuro – Assicurazione sanitaria e piano di previdenza complementare, per prenderci cura delle nostre persone e delle loro famiglie nel tempo.



Formazione e sviluppo – Programmi di training strutturati e percorsi di crescita professionale, per valorizzare competenze, potenziale e ambizioni professionali.



Internal Mobility – Opportunità di sviluppo e mobilità interna per accompagnare l’evoluzione professionale all’interno del Gruppo.


* ️ Benessere e flessibilità – Iniziative di welfare aziendale a supporto dell’equilibrio tra vita privata e professionale, all’interno di un modello di smart working strutturato.



Vantaggi esclusivi – Un sistema di convenzioni e agevolazioni dedicate, pensato per le esigenze quotidiane delle nostre persone.



Onboarding “Destinazione Terna” – Un percorso ingaggiante di inserimento che combina formazione, networking e conoscenza del contesto aziendale.



È possibile candidarsi entro e non oltre il **2 luglio** cliccando su “Candidati ora”. Referente per la selezione: Simona Sapio \- talentacquisition@terna.it


*Ricordiamo che i CV inviati tramite e\-mail non verranno presi in considerazione. Le persone considerate in linea con il profilo saranno contattate nelle prossime settimane. Ringraziamo chi ha inviato la candidatura e per l’interesse dimostrato verso il nostro Gruppo.*  

*Confermiamo che tutte le candidature saranno tenute in considerazione per eventuali future opportunità professionali.*","","https://it.indeed.com/cmp/Terna","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/679ac3374773144769c2c7b3e8caad17","https://www.terna.it/en","Tirana","501 to 1,000","$500M to $1B (USD)","TERNA IS THE FIRST GRID OPERATOR FOR ELECTRICITY TRANSMISSION IN EUROPE. WE PROMOTE THE ENERGY TRANSITION AND SUSTAINABLE DEVELOPMENT BY FOCUSING ON PEOPLE AND INNOVATION.","","","","","","","persona qualificata"
"in-668faee38ba922f9","indeed","https://it.indeed.com/viewjob?jk=668faee38ba922f9","https://almalaboris.factorial.it/apply/esperto-diritto-tributario-62476?utm_source=indeed.com","Esperto Diritto Tributario","ALMA LABORIS Business School","Venezia, VEN, IT","2026-06-16","","","","","","",True,"","","","","Per favorire la crescita professionale, Alma Laboris Business School propone il **Percorso per** E**sperti in Diritto e Tecniche Tributarie (in Aula oppure Online \- Live Streaming)** per un approccio Executive a Fiscalità, Tributi, Accertamento e Contenzioso con l’obiettivo di:


* Fornire **Conoscenze Tecniche**, attraverso l’esame di numerosi casi aziendali, esercitazioni pratiche e la presenza di Esperti del settore;
* Costruire **Opportunità di Carriera,** con il supporto gratuito di Consulenti qualificati;


**Le principali Materie trattate nel Percorso in formula week\-end:**


* La Tassazione delle Persone Fisiche e delle Società di Persone
* Imposte Indirette e Fiscalita’ dei Patrimoni e dei Trust
* Il Bilancio di Esercizio ed il Sistema di Tassazione delle Società di Capitali
* Fiscalità Straordinaria di Impresa
* Fiscalità dei Gruppi Societari
* Attività Ispettiva, di Controllo e di Accertamento del Tributo
* Il Processo Tributario
* La Riscossione Tributaria e le Sanzioni Amministrative Tributarie
* Istituti Preventivi e Deflattivi del Contenzioso Tributario
* Diritto Tributario Comunitario
* Iva Nazionale
* Scambi Internazionali, Iva e Dogane
* Diritto Tributario Internazionale
* Diritto Penale Tributario e Legislazione Antiriciclaggio


**Opportunità di Carriera:**



Alma Laboris, già durante il Percorso, propone per ogni singolo Partecipante:


* **Promozione del Profilo alle Aziende** interessate a fissare colloqui per diverse posizioni aperte;
* **Consulenza di Carriera qualificata**, per delineare con efficacia l’ambito di spendibilità;
* Portale “Network”, strumento esclusivo ideato per proporre in autonomia la candidatura agli Annunci di lavoro che le Aziende Partner e la Business School pubblicano periodicamente;
* **Assistenza individuale** con un Tutor esperto delle dinamiche del mercato, per consigli utili e strumenti aggiornati;


**Con la candidatura all'annuncio riceveranno informazioni sulle attività formative.**



Il presente annuncio è rivolto a entrambi i sessi, ai sensi delle leggi 903/77 e 125/91, e a persone di tutte le età e nazionalità, ai sensi dei decreti legislativi 215/03 e 216/03\.



(Privacy: accetto che le informazioni inviate siano gestite da Alma Laboris Business School in ottemperanza al GDPR \- General Data Protection Regulation \- www.almalaboris.com/privacy.html).","","https://it.indeed.com/cmp/Alma-Laboris-Business-School","","","","","","","","","","","","","persona qualificata"
"in-13828fa0a66cba97","indeed","https://it.indeed.com/viewjob?jk=13828fa0a66cba97","http://it.indeed.com/job/meccanico-auto-13828fa0a66cba97","meccanico auto","GPT AUTO SRLS","Arcole, VEN, IT","2026-06-15","parttime, fulltime","","","","","",False,"","","","","MECCANICO QUALIFICATO

GPT AUTO ricerca un meccanico qualificato con esperienza da inserire nel proprio organico.

Requisiti richiesti:

* Esperienza comprovata nel settore;
* Qualifica professionale come meccanico
* Capacità di lavorare in autonomia;
* Serietà, precisione e affidabilità;
* Buona capacità di individuare e risolvere problematiche meccaniche;
* Patente B.

Cerchiamo una persona competente, responsabile e con reale esperienza nel settore.

Sede di lavoro: Arcole (VR)

Inviare il curriculum vitae per candidarsi.

Retribuzione: €979,43 \- €2\.248,02 al mese

Benefit:

* Convenzioni aziendali
* Parcheggio libero

Sede di lavoro: Di persona","","https://it.indeed.com/cmp/Gpt-Auto-Srls","","","","","","","","","","","","","persona qualificata"
